state, state_code, division_code, division, country_code, country
Naftalan,,Intl,International,AZ,Azerbaijan
Birżebbuġa,,Intl,International,MT,Malta
Dingli,,Intl,International,MT,Malta
Il-Gżira,,Intl,International,MT,Malta
Kirkop,,Intl,International,MT,Malta
Bender Tr.,,Intl,International,MD,"Moldova, Republic of"
Canul,,Intl,International,MD,"Moldova, Republic of"
L-Imdina,,Intl,International,MT,Malta
Safi,,Intl,International,MT,Malta
Saint Lucia,,Intl,International,MT,Malta
Sannat,,Intl,International,MT,Malta
Is-Swieqi,,Intl,International,MT,Malta
Ix-Xgħajra,,Intl,International,MT,Malta
Ħaż-Żabbar,,Intl,International,MT,Malta
Alaska,AK,West,Pacific,US,United States
Arkansas,AR,South,West South Central,US,United States
California,CA,West,Pacific,US,United States
Connecticut,CT,Northeast,New England,US,United States
Delaware,DE,South,South Atlantic,US,United States
Georgia,GA,South,South Atlantic,US,United States
Iowa,IA,Midwest,West North Central,US,United States
Illinois,IL,Midwest,East North Central,US,United States
Kansas,KS,Midwest,West North Central,US,United States
Louisiana,LA,South,West South Central,US,United States
Maryland,MD,South,South Atlantic,US,United States
Michigan,MI,Midwest,East North Central,US,United States
Missouri,MO,Midwest,West North Central,US,United States
Montana,MT,West,Mountain,US,United States
North Dakota,ND,Midwest,West North Central,US,United States
New Hampshire,NH,Northeast,New England,US,United States
New Mexico,NM,West,Mountain,US,United States
New York,NY,Northeast,Middle Atlantic,US,United States
Oklahoma,OK,South,West South Central,US,United States
Pennsylvania,PA,Northeast,Middle Atlantic,US,United States
South Carolina,SC,South,South Atlantic,US,United States
Tennessee,TN,South,East South Central,US,United States
Utah,UT,West,Mountain,US,United States
Vermont,VT,Northeast,New England,US,United States
Wisconsin,WI,Midwest,East North Central,US,United States
Wyoming,WY,West,Mountain,US,United States
Alabama,AL,South,East South Central,US,United States
Arizona,AZ,West,Mountain,US,United States
Colorado,CO,West,Mountain,US,United States
District of Columbia,DC,South,South Atlantic,US,United States
Florida,FL,South,South Atlantic,US,United States
Hawaii,HI,West,Pacific,US,United States
Idaho,ID,West,Mountain,US,United States
Indiana,IN,Midwest,East North Central,US,United States
Kentucky,KY,South,East South Central,US,United States
Massachusetts,MA,Northeast,New England,US,United States
Maine,ME,Northeast,New England,US,United States
Minnesota,MN,Midwest,West North Central,US,United States
Mississippi,MS,South,East South Central,US,United States
North Carolina,NC,South,South Atlantic,US,United States
Nebraska,NE,Midwest,West North Central,US,United States
New Jersey,NJ,Northeast,Middle Atlantic,US,United States
Nevada,NV,West,Mountain,US,United States
Ohio,OH,Midwest,East North Central,US,United States
Oregon,OR,West,Pacific,US,United States
Rhode Island,RI,Northeast,New England,US,United States
South Dakota,SD,Midwest,West North Central,US,United States
Texas,TX,South,West South Central,US,United States
Virginia,VA,South,South Atlantic,US,United States
Washington,WA,West,Pacific,US,United States
West Virginia,WV,South,South Atlantic,US,United States
Nova Scotia,,Canada,Canada,CA,Canada
Quebec,QC,Canada,Canada,CA,Canada
Saskatchewan,SK,Canada,Canada,CA,Canada
British Columbia,BT,Canada,Canada,CA,Canada
Yukon,YT,Canada,Canada,CA,Canada
New Brunswick,NB,Canada,Canada,CA,Canada
Nunavut Territory,NU,Canada,Canada,CA,Canada
Manitoba,MB,Canada,Canada,CA,Canada
Newfoundland and Lab,NL,Canada,Canada,CA,Canada
Prince Edward Island,PE,Canada,Canada,CA,Canada
Ontario,ON,Canada,Canada,CA,Canada
Alberta,AB,Canada,Canada,CA,Canada
Northwest Territory,NT,Canada,Canada,CA,Canada
